id,receivingId,productId,quantity,cud,comment,finishedAdding,createdAt,updatedAt
1,1,5577,10,Used,,True,2020-02-21T10:18:26.616,2020-02-21T10:18:26.616
2,2,3161,1,Used,,True,2020-02-24T10:00:42.148,2020-02-24T10:00:42.148
3,3,3792,1,Used,,True,2020-02-24T10:22:53.573,2020-02-24T10:22:53.573
4,4,2236,490,New Factory Sealed,,True,2020-02-24T10:38:45.755,2020-02-24T10:38:45.755
6,5,5579,6,Used,,True,2020-02-24T13:06:20.243,2020-02-24T13:06:20.243
7,5,1832,72,Used,,True,2020-02-24T13:06:36.266,2020-02-24T13:06:36.266
8,5,2345,6,Used,,True,2020-02-24T13:06:54.697,2020-02-24T13:06:54.697
9,5,2640,12,New Opened Box,,True,2020-02-24T13:12:19.169,2020-02-24T13:12:19.169
10,5,1325,3,New Opened Box,,True,2020-02-24T13:12:46.280,2020-02-24T13:12:46.280
11,5,1747,3,New Opened Box,,True,2020-02-24T13:15:20.450,2020-02-24T13:15:20.450
12,12,926,1,Used,,True,2020-02-24T14:45:31.771,2020-02-24T14:45:31.771
13,13,2125,13,Used,,True,2020-02-24T14:46:48.920,2020-02-24T14:46:48.920
14,14,1334,24,Used,,True,2020-02-24T14:48:39.436,2020-02-24T14:48:39.436
15,15,1075,2,Used,,True,2020-02-24T15:53:02.205,2020-02-24T15:53:02.205
17,17,371,1,Refurbished,,True,2020-02-25T10:14:51.291,2020-02-25T10:14:51.291
18,18,5526,2,Used,RETURN,True,2020-02-25T13:32:29.069,2020-02-25T13:32:29.069
19,19,1832,80,Used,,True,2020-02-25T13:33:01.819,2020-02-25T13:33:01.819
20,20,1832,26,Used,,True,2020-02-25T13:33:15.259,2020-02-25T13:33:15.259
21,21,1832,40,Used,,True,2020-02-26T17:55:37.384,2020-02-26T17:55:37.384
22,22,1307,182,Used,,True,2020-02-26T17:59:01.126,2020-02-26T17:59:01.126
23,22,1334,109,Used,,True,2020-02-26T17:59:27.373,2020-02-26T17:59:27.373
24,24,1307,67,Used,,True,2020-02-26T18:00:59.240,2020-02-26T18:00:59.240
25,25,4133,4,Used,,True,2020-02-27T10:33:13.885,2020-02-27T10:33:13.885
26,26,5507,1,Used,,True,2020-02-27T10:33:49.716,2020-02-27T10:33:49.716
27,27,462,3,New Factory Sealed,,True,2020-02-27T13:50:17.733,2020-02-27T13:50:17.733
28,27,5576,3,New Factory Sealed,,True,2020-02-27T13:51:56.383,2020-02-27T13:51:56.383
29,29,5507,8,Used,,True,2020-02-27T13:52:35.397,2020-02-27T13:52:35.397
30,30,1774,50,Used,Return,True,2020-02-28T12:26:06.454,2020-02-28T12:26:06.454
31,31,1832,11,Used,,True,2020-02-28T15:17:56.548,2020-02-28T15:17:56.548
32,32,1832,8,Used,,True,2020-02-28T15:19:16.521,2020-02-28T15:19:16.521
33,32,1238,14,Used,,True,2020-02-28T15:19:43.903,2020-02-28T15:19:43.903
34,34,1238,10,Used,,True,2020-02-28T15:20:35.853,2020-02-28T15:20:35.853
35,35,1532,7,Used,,True,2020-02-28T15:21:23.716,2020-02-28T15:21:23.716
37,36,1334,12,Used,,True,2020-02-28T15:22:25.737,2020-02-28T15:22:25.737
38,4,1832,3,Used,Samsung; NO HP Label,True,2020-03-02T11:47:54.201,2020-03-02T11:47:54.201
39,4,2599,24,Used,NO - Sys Board,True,2020-03-02T11:49:25.048,2020-03-02T11:49:25.048
40,40,5507,1,Used,,True,2020-03-02T11:56:28.099,2020-03-02T11:56:28.099
41,41,3792,1,Used,,True,2020-03-02T14:55:21.102,2020-03-02T14:55:21.102
42,42,5507,4,Used,,True,2020-03-02T16:47:11.422,2020-03-02T16:47:11.422
43,43,1830,2,Used,,True,2020-03-02T16:48:06.875,2020-03-02T16:48:06.875
44,44,5579,1,Used,,True,2020-03-02T16:49:32.327,2020-03-02T16:49:32.327
45,45,1751,1,Used,,True,2020-03-03T13:35:20.228,2020-03-03T13:35:20.228
46,46,1320,1,Used,,True,2020-03-03T16:15:52.438,2020-03-03T16:15:52.438
47,47,1334,16,Used,,True,2020-03-03T16:16:28.084,2020-03-03T16:16:28.084
48,48,1332,1,Used,,True,2020-03-03T16:16:59.234,2020-03-03T16:16:59.234
49,49,3802,2,Used,,True,2020-03-03T16:17:33.593,2020-03-03T16:17:33.593
50,49,3812,2,Used,,True,2020-03-03T16:18:10.247,2020-03-03T16:18:10.247
51,49,3806,2,Used,,True,2020-03-03T16:18:21.742,2020-03-03T16:18:21.742
52,49,3804,2,Used,,True,2020-03-03T16:18:31.014,2020-03-03T16:18:31.014
53,53,5676,3,New Factory Sealed,,True,2020-03-03T16:20:25.993,2020-03-03T16:20:25.993
54,54,1774,1,Used,REturn,False,2020-03-03T16:20:58.399,2020-03-03T16:20:58.399
55,55,1307,105,Used,,True,2020-03-03T16:57:59.920,2020-03-03T16:57:59.920
56,56,1307,20,Used,,True,2020-03-03T16:58:25.367,2020-03-03T16:58:25.367
57,56,601,23,Used,,True,2020-03-03T16:58:47.846,2020-03-03T16:58:47.846
58,58,5483,4,Used,,True,2020-03-03T16:59:19.485,2020-03-03T16:59:19.485
59,59,1833,2,Used,,True,2020-03-03T17:00:03.332,2020-03-03T17:00:03.332
60,60,1776,2,Used,,True,2020-03-04T14:01:44.925,2020-03-04T14:01:44.925
61,61,5507,7,Used,,True,2020-03-04T14:02:11.099,2020-03-04T14:02:11.099
62,62,5552,2,Used,,True,2020-03-05T11:07:09.751,2020-03-05T11:07:09.751
63,63,5552,28,Used,,True,2020-03-05T11:07:32.526,2020-03-05T11:07:32.526
64,64,5552,3,Used,,True,2020-03-05T11:08:11.596,2020-03-05T11:08:11.596
65,65,5552,4,Used,,True,2020-03-05T11:09:06.930,2020-03-05T11:09:06.930
66,66,2657,1,Renew,,True,2020-03-05T11:09:55.152,2020-03-05T11:09:55.152
67,67,1332,1,Used,,True,2020-03-06T10:34:43.141,2020-03-06T10:34:43.141
68,68,1320,1,Used,,True,2020-03-06T10:37:02.538,2020-03-06T10:37:02.538
69,69,2244,71,Used,,True,2020-03-06T10:42:19.633,2020-03-06T10:42:19.633
70,70,5583,6,Used,RETURN,True,2020-03-06T10:43:34.645,2020-03-06T10:43:34.645
71,71,1832,6,Used,,True,2020-03-06T10:56:34.922,2020-03-06T10:56:34.922
72,72,1872,1,Used,,True,2020-03-06T15:00:24.011,2020-03-06T15:00:24.011
73,73,1776,15,Used,,True,2020-03-06T15:00:44.921,2020-03-06T15:00:44.921
74,74,1307,73,Used,,True,2020-03-06T15:01:33.488,2020-03-06T15:01:33.488
75,75,5534,1,Used,,True,2020-03-06T15:03:02.732,2020-03-06T15:03:02.732
76,76,2795,1,Used,Replacement,False,2020-03-06T15:04:09.881,2020-03-06T15:04:09.881
77,77,1309,121,Used,,True,2020-03-06T15:05:01.015,2020-03-06T15:05:01.015
78,78,5562,2,Used,,True,2020-03-06T16:48:29.547,2020-03-06T16:48:29.547
79,79,939,30,Used,3 Defective,True,2020-03-10T12:43:23.161,2020-03-10T12:43:23.161
80,80,2845,1,New Factory Sealed,,True,2020-03-11T13:31:58.726,2020-03-11T13:31:58.726
81,81,2872,2,New Factory Sealed,,True,2020-03-11T14:22:25.360,2020-03-11T14:22:25.360
82,82,1307,1,Used,,True,2020-03-11T14:28:53.424,2020-03-11T14:28:53.424
83,83,5621,16,Used,,True,2020-03-12T11:20:55.767,2020-03-12T11:20:55.767
85,85,4179,200,Used,,True,2020-03-12T11:53:06.711,2020-03-12T11:53:06.711
87,87,2447,2,Used,,True,2020-03-13T10:32:47.678,2020-03-13T10:32:47.678
88,88,1819,11,Used,,True,2020-03-13T10:39:13.585,2020-03-13T10:39:13.585
89,89,5507,9,Used,,True,2020-03-13T11:57:26.753,2020-03-13T11:57:26.753
90,89,1334,24,Used,,True,2020-03-13T11:58:02.991,2020-03-13T11:58:02.991
92,92,4317,64,New Factory Sealed,,True,2020-03-13T14:56:54.353,2020-03-13T14:56:54.353
93,93,3125,3,Used,RETURN,True,2020-03-13T15:59:07.933,2020-03-13T15:59:07.933
94,94,5535,1,Used,Reutrn,True,2020-03-13T16:00:52.618,2020-03-13T16:00:52.618
95,95,2447,12,Used,,True,2020-03-13T16:02:13.424,2020-03-13T16:02:13.424
96,96,5477,2,Used,,True,2020-03-16T16:09:17.765,2020-03-16T16:09:17.765
97,97,5507,1,Used,,True,2020-03-16T16:57:30.640,2020-03-16T16:57:30.640
98,98,1307,6,Used,,True,2020-03-17T11:17:22.498,2020-03-17T11:17:22.498
99,99,1307,5,Used,,True,2020-03-17T11:17:43.016,2020-03-17T11:17:43.016
100,100,5557,6,Used,,True,2020-03-17T11:18:11.141,2020-03-17T11:18:11.141
101,101,5557,4,Used,,True,2020-03-17T11:19:08.233,2020-03-17T11:19:08.233
102,102,5481,1,Used,,True,2020-03-17T11:19:49.277,2020-03-17T11:19:49.277
103,102,5491,1,Used,,True,2020-03-17T11:20:03.956,2020-03-17T11:20:03.956
104,104,1038,4,Used,,True,2020-03-17T11:20:52.536,2020-03-17T11:20:52.536
105,105,5161,1,Used,NO - Ears,True,2020-03-17T11:28:25.308,2020-03-17T11:28:25.308
106,105,3038,2,Used,in Q2R21A - 2S6838D415,True,2020-03-17T11:29:31.204,2020-03-17T11:29:31.204
107,105,1828,2,Used,in Q2R21A - 2S6838D415,True,2020-03-17T11:30:43.644,2020-03-17T11:30:43.644
109,109,4317,1,New Factory Sealed,,False,2020-03-17T13:37:27.711,2020-03-17T13:37:27.711
110,110,3161,6,Used,,True,2020-03-17T13:38:08.949,2020-03-17T13:38:08.949
111,111,1612,1,Used,Return,True,2020-03-17T13:38:43.508,2020-03-17T13:38:43.508
112,112,1395,10,Used,,True,2020-03-18T11:17:34.457,2020-03-18T11:17:34.457
113,113,5583,1,Used,,True,2020-03-18T11:18:08.039,2020-03-18T11:18:08.039
114,114,5530,4,Used,,True,2020-03-18T13:11:05.196,2020-03-18T13:11:05.196
115,115,1776,4,Used,,True,2020-03-18T13:56:35.801,2020-03-18T13:56:35.801
116,116,1819,2,Used,,True,2020-03-18T15:17:39.311,2020-03-18T15:17:39.311
117,117,5507,17,Used,,True,2020-03-19T11:06:05.096,2020-03-19T11:06:05.096
118,118,1776,8,Used,,True,2020-03-19T11:06:37.390,2020-03-19T11:06:37.390
119,119,1323,2,New Opened Box,,True,2020-03-19T13:27:10.875,2020-03-19T13:27:10.875
120,120,228,2,Used,,True,2020-03-20T11:21:46.589,2020-03-20T11:21:46.589
121,120,5554,4,Used,,True,2020-03-20T11:22:04.308,2020-03-20T11:22:04.308
122,120,181,20,Used,,True,2020-03-20T11:22:53.586,2020-03-20T11:22:53.586
123,120,392,12,Used,,True,2020-03-20T11:23:46.639,2020-03-20T11:23:46.639
124,120,5742,48,Used,,True,2020-03-20T11:24:04.606,2020-03-20T11:24:04.606
125,125,5676,5,New Factory Sealed,,True,2020-03-24T14:23:33.275,2020-03-24T14:23:33.275
126,126,5676,1,New Factory Sealed,,True,2020-03-24T14:23:56.603,2020-03-24T14:23:56.603
127,127,5552,2,Used,,True,2020-03-24T14:24:27.561,2020-03-24T14:24:27.561
128,128,340,7,New Opened Box,"NO - CPU, Mem, NVMe",True,2020-03-24T14:34:35.601,2020-03-24T14:34:35.601
130,130,1191,18,Used,,True,2020-03-25T14:04:56.488,2020-03-25T14:04:56.488
131,131,5552,4,Used,,True,2020-03-26T10:23:21.117,2020-03-26T10:23:21.117
132,132,5552,18,Used,,True,2020-03-26T10:23:33.661,2020-03-26T10:23:33.661
133,133,936,104,Used,,True,2020-03-26T12:34:42.628,2020-03-26T12:34:42.628
135,135,5524,3,Used,,True,2020-03-27T13:51:01.260,2020-03-27T13:51:01.260
