id,purchaseOrderNumber,companyId,userId,orderType,trackingNumber,dateReceived,shippedVia,comment,createdAt,updatedAt
1,EO-7719,1354,8,,,2020-02-21T10:18:26.616,,,2020-02-21T10:18:26.616,2020-02-21T10:18:26.616
2,EO-7777,1355,8,,,2020-02-24T10:00:42.148,,,2020-02-24T10:00:42.148,2020-02-24T10:00:42.148
3,EO-7774,1356,8,,,2020-02-24T10:22:53.573,,,2020-02-24T10:22:53.573,2020-02-24T10:22:53.573
4,EO-7558,37,8,,,2020-02-24T10:38:45.755,,,2020-02-24T10:38:45.755,2020-02-24T10:38:45.755
5,EO-7776,1357,8,,,2020-02-24T13:05:38.469,,,2020-02-24T13:05:38.469,2020-02-24T13:05:38.469
12,EO-7773,724,8,,,2020-02-24T14:45:31.771,,,2020-02-24T14:45:31.771,2020-02-24T14:45:31.771
13,EO-7772,680,8,,,2020-02-24T14:46:48.920,,,2020-02-24T14:46:48.920,2020-02-24T14:46:48.920
14,EO-7768,471,8,,,2020-02-24T14:48:39.436,,,2020-02-24T14:48:39.436,2020-02-24T14:48:39.436
15,EO-7780,1358,8,,,2020-02-24T15:53:02.205,,,2020-02-24T15:53:02.205,2020-02-24T15:53:02.205
16,we23,1359,2,,,2020-02-24T17:23:55.678,,,2020-02-24T17:23:55.678,2020-02-24T17:23:55.678
17,1,1360,8,,,2020-02-25T10:14:51.291,,,2020-02-25T10:14:51.291,2020-02-25T10:14:51.291
18,RMA BGM2242020,1361,8,,,2020-02-25T13:32:29.069,,RETURN,2020-02-25T13:32:29.069,2020-02-25T13:32:29.069
19,EO-7742,60,8,,,2020-02-25T13:33:01.819,,,2020-02-25T13:33:01.819,2020-02-25T13:33:01.819
20,EO-7750,60,8,,,2020-02-25T13:33:15.259,,,2020-02-25T13:33:15.259,2020-02-25T13:33:15.259
21,EO-7784,60,8,,,2020-02-26T17:55:37.384,,,2020-02-26T17:55:37.384,2020-02-26T17:55:37.384
22,EO-7767,1362,8,,,2020-02-26T17:59:01.126,,,2020-02-26T17:59:01.126,2020-02-26T17:59:01.126
24,EO-7775,512,8,,,2020-02-26T18:00:59.240,,,2020-02-26T18:00:59.240,2020-02-26T18:00:59.240
25,EO-7795,1363,8,,,2020-02-27T10:33:13.885,,,2020-02-27T10:33:13.885,2020-02-27T10:33:13.885
26,EO-7791,1364,8,,,2020-02-27T10:33:49.716,,,2020-02-27T10:33:49.716,2020-02-27T10:33:49.716
27,EO-7769,1365,8,,,2020-02-27T13:50:17.733,,,2020-02-27T13:50:17.733,2020-02-27T13:50:17.733
29,EO-7786,1366,8,,,2020-02-27T13:52:35.397,,,2020-02-27T13:52:35.397,2020-02-27T13:52:35.397
30,RMA12743,1367,8,,,2020-02-28T12:26:06.454,,Return,2020-02-28T12:26:06.454,2020-02-28T12:26:06.454
31,PO-7785,1368,8,,,2020-02-28T15:17:56.548,,,2020-02-28T15:17:56.548,2020-02-28T15:17:56.548
32,EO-7783,724,8,,,2020-02-28T15:19:16.521,,,2020-02-28T15:19:16.521,2020-02-28T15:19:16.521
34,EO-7782,471,8,,,2020-02-28T15:20:35.853,,,2020-02-28T15:20:35.853,2020-02-28T15:20:35.853
35,EO-7794,1362,8,,,2020-02-28T15:21:23.716,,,2020-02-28T15:21:23.716,2020-02-28T15:21:23.716
36,EO-7778,1362,8,,,2020-02-28T15:22:03.962,,,2020-02-28T15:22:03.962,2020-02-28T15:22:03.962
40,EO-7787,1369,8,,,2020-03-02T11:56:28.099,,,2020-03-02T11:56:28.099,2020-03-02T11:56:28.099
41,EO-7792,1370,8,,,2020-03-02T14:55:21.102,,,2020-03-02T14:55:21.102,2020-03-02T14:55:21.102
42,EO-7796,1371,8,,,2020-03-02T16:47:11.422,,,2020-03-02T16:47:11.422,2020-03-02T16:47:11.422
43,EO-7793,1372,8,,,2020-03-02T16:48:06.875,,,2020-03-02T16:48:06.875,2020-03-02T16:48:06.875
44,Eo-7790,1373,8,,,2020-03-02T16:49:32.327,,,2020-03-02T16:49:32.327,2020-03-02T16:49:32.327
45,EO-7799,61,8,,,2020-03-03T13:35:20.228,,,2020-03-03T13:35:20.228,2020-03-03T13:35:20.228
46,EO-7808,1374,8,,,2020-03-03T16:15:52.438,,,2020-03-03T16:15:52.438,2020-03-03T16:15:52.438
47,EO-7779,1375,8,,,2020-03-03T16:16:28.084,,,2020-03-03T16:16:28.084,2020-03-03T16:16:28.084
48,EO-728551-B21,1376,8,,,2020-03-03T16:16:59.234,,,2020-03-03T16:16:59.234,2020-03-03T16:16:59.234
49,EO-7807,1377,8,,,2020-03-03T16:17:33.593,,,2020-03-03T16:17:33.593,2020-03-03T16:17:33.593
53,EO-7806,1378,8,,,2020-03-03T16:20:25.993,,,2020-03-03T16:20:25.993,2020-03-03T16:20:25.993
54,RMA-12737,1368,8,,,2020-03-03T16:20:58.399,,REturn,2020-03-03T16:20:58.399,2020-03-03T16:20:58.399
55,EO-7802,1379,8,,,2020-03-03T16:57:59.920,,,2020-03-03T16:57:59.920,2020-03-03T16:57:59.920
